order_id,customer_id,order_date,shipment_date,carrier_id,expected_delivery_date,actual_delivery_date,order_processing_days,delivery_time_days,delivery_delay_days,on_time_flag,delay_reason
1000001,CUST001,2025-02-01,2025-02-10,CARR001,2025-02-08,2025-02-10,9.0,0.0,2.0,0,Late delivery
1000002,CUST002,2025-02-02,2025-02-11,CARR002,2025-02-09,2025-02-11,9.0,0.0,2.0,0,Late delivery
1000003,CUST003,2025-02-05,2025-02-12,CARR001,2025-02-10,2025-02-12,7.0,0.0,2.0,0,Late delivery
1000004,CUST004,2025-02-06,2025-02-13,CARR003,2025-02-12,2025-02-13,7.0,0.0,1.0,0,Late delivery
1000005,CUST005,2025-02-07,2025-02-14,CARR001,2025-02-13,2025-02-14,7.0,0.0,1.0,0,Late delivery
1000006,CUST006,2025-02-08,2025-02-15,CARR002,2025-02-14,2025-02-15,7.0,0.0,1.0,0,Late delivery
1000007,CUST007,2025-02-09,2025-02-16,CARR003,2025-02-15,2025-02-16,7.0,0.0,1.0,0,Late delivery
1000008,CUST008,2025-02-10,2025-02-17,CARR001,2025-02-16,2025-02-17,7.0,0.0,1.0,0,Late delivery
1000009,CUST009,2025-02-11,2025-02-18,CARR002,2025-02-17,2025-02-18,7.0,0.0,1.0,0,Late delivery
1000010,CUST010,2025-02-12,2025-02-19,CARR003,2025-02-18,2025-02-19,7.0,0.0,1.0,0,Late delivery
1000011,CUST011,2025-02-13,2025-02-20,CARR001,2025-02-19,2025-02-20,7.0,0.0,1.0,0,Late delivery
1000012,CUST012,2025-02-14,2025-02-21,CARR002,2025-02-20,2025-02-21,7.0,0.0,1.0,0,Late delivery
1000013,CUST013,2025-02-15,2025-02-22,CARR003,2025-02-21,2025-02-22,7.0,0.0,1.0,0,Late delivery
1000014,CUST014,2025-02-16,2025-02-23,CARR001,2025-02-22,2025-02-23,7.0,0.0,1.0,0,Late delivery
1000015,CUST015,2025-02-17,2025-02-24,CARR002,2025-02-23,2025-02-24,7.0,0.0,1.0,0,Late delivery
1000016,CUST016,2025-02-18,2025-02-25,CARR003,2025-02-24,2025-02-25,7.0,0.0,1.0,0,Late delivery
1000017,CUST017,2025-02-19,2025-02-26,CARR001,2025-02-25,2025-02-26,7.0,0.0,1.0,0,Late delivery
1000018,CUST018,2025-02-20,2025-02-27,CARR002,2025-02-26,2025-02-27,7.0,0.0,1.0,0,Late delivery
1000019,CUST019,2025-02-21,2025-02-28,CARR003,2025-02-27,2025-02-28,7.0,0.0,1.0,0,Late delivery
1000020,CUST020,2025-02-22,2025-03-01,CARR001,2025-02-28,2025-03-01,7.0,0.0,1.0,0,Late delivery
1000021,CUST021,2025-02-23,,,2025-03-01,,,,,0,Missing date
1000022,CUST022,2025-02-24,,,2025-03-02,,,,,0,Missing date
