shipment_id,order_id,delivery_id,carrier_id,shipment_date,shipping_point,shipment_status,route,shipping_type,customer_id
2001001,1000001,1001001,CARR001,2025-02-10,SP001,In Transit,1,Standard,CUST001
2001002,1000002,1001002,CARR002,2025-02-11,SP002,Delivered,2,Express,CUST002
2001003,1000003,1001003,CARR001,2025-02-12,SP001,In Transit,3,Standard,CUST003
2001004,1000004,1001004,CARR003,2025-02-13,SP003,Delivered,4,Express,CUST004
2001005,1000005,1001005,CARR001,2025-02-14,SP001,In Transit,5,Standard,CUST005
2001006,1000006,1001006,CARR002,2025-02-15,SP002,Delivered,6,Express,CUST006
2001007,1000007,1001007,CARR003,2025-02-16,SP003,In Transit,7,Standard,CUST007
2001008,1000008,1001008,CARR001,2025-02-17,SP001,Delivered,8,Express,CUST008
2001009,1000009,1001009,CARR002,2025-02-18,SP002,In Transit,9,Standard,CUST009
2001010,1000010,1001010,CARR003,2025-02-19,SP003,Delivered,10,Express,CUST010
2001011,1000011,1001011,CARR001,2025-02-20,SP001,In Transit,11,Standard,CUST011
2001012,1000012,1001012,CARR002,2025-02-21,SP002,Delivered,12,Express,CUST012
2001013,1000013,1001013,CARR003,2025-02-22,SP003,In Transit,13,Standard,CUST013
2001014,1000014,1001014,CARR001,2025-02-23,SP001,Delivered,14,Express,CUST014
2001015,1000015,1001015,CARR002,2025-02-24,SP002,In Transit,15,Standard,CUST015
2001016,1000016,1001016,CARR003,2025-02-25,SP003,Delivered,16,Express,CUST016
2001017,1000017,1001017,CARR001,2025-02-26,SP001,In Transit,17,Standard,CUST017
2001018,1000018,1001018,CARR002,2025-02-27,SP002,Delivered,18,Express,CUST018
2001019,1000019,1001019,CARR003,2025-02-28,SP003,In Transit,19,Standard,CUST019
2001020,1000020,1001020,CARR001,2025-03-01,SP001,Delivered,20,Express,CUST020
